Heosemys annandalii
Hubbsina turneri
Indotestudo forstenii
Pangshura sylhetensis
Kubaryia pilikia
Ameca splendens
Obovaria haddletoni
Lemiox rimosus
Malacochersus tornieri
Margaritifera hembeli
Medionidus walkeri
Megalagrion jugorum
Megalagrion oceanicum
Mictocaris halope
Telmatobius sanborni
Neochanna burrowsius
Nilssonia formosa
Mauremys sinensis
Coleocephalocereus braunii
Matucana aureiflora
Peniocereus occidentalis
Peniocereus maculatus
Eriosyce chilensis
Pereskia quisqueyana
Parodia rechensis
Hylocereus escuintlensis
Cleistocactus hoffmannii
Eriosyce laui
Leptocereus grantianus
Peniocereus zopilotensis
Melocactus braunii
Mammillaria carmenae
Parodia nivosa
Matucana ritteri
Pilosocereus diersianus
Haageocereus pacalaensis
Rhipsalis pentaptera
Myrtillocactus eichlamii
Matucana madisoniorum
Cylindropuntia hystrix
Corynopuntia reflexispina
Leptocereus wrightii
Rhipsalis mesembryanthemoides
Gymnocalycium ragonesei
Pygmaeocereus bylesianus
Parodia herteri
Echinocereus nivosus
Weberocereus frohningiorum
Mammillaria theresae
Gymnocalycium neuhuberi
Echinopsis walteri
Stenocereus chacalapensis
Cereus saddianus
Melocactus brederooianus
Matucana huagalensis
Leptocereus scopulophilus
Parodia arnostiana
Parodia neohorstii
Coryphantha potosiana
Astrophytum caput-medusae
Cleistocactus xylorhizus
Arrojadoa marylaniae
Discocactus hartmannii
Parodia crassigibba
Leptocereus carinatus
Mammillaria laui
Gymnocalycium albiareolatum
Haageocereus tenuis
Mammillaria humboldtii
Parodia buiningii
Orlitia borneensis
Oxygonum subfastigiatum
Homalium elegantulum
Celosia patentiloba
Cordia trichocladophylla
Saintpaulia teitensis
Gouania ulugurica
Lingelsheimia sylvestris
Tragia pogostemonoides
Cyathula braunii
Ochna polyarthra
Phyllanthus schliebenii
Euphorbia taruensis
Diospyros uzungwaensis
Streptocarpus euanthus
Ochna citrina
Impatiens simbiniensis
Meineckia grandiflora
Nectaropetalum acuminatum
Euphorbia syncalycina
Stephanostema stenocarpum
Impatiens saliensis
Gutenbergia oppositifolia
Impatiens cinnabarina
Ochna schliebenii
Begonia zimmermannii
Plumbago stenophylla
Sphaeranthus cristatus
Impatiens uzungwaensis
Ochna braunii
Meineckia ovata
Kleinia vermicularis
Coffea kihansiensis
Impatiens humifusa
Impatiens tricaudata
Ancistrocladus tanzaniensis
Cordia chaetodonta
Streptocarpus burttianus
Buxus cordata
Streptocarpus kimbozanus
Impatiens paludicola
Palaemonetes cummingi
Palaina moussoni
Palaina striolata
Nepenthes attenboroughii
Palea steindachneri
Pseudochazara cingovskii
Paratrygon aiereba
Primula boveana
Callitriche pulchra
Alsophylax laevis
Pegias fabula
Islamia pseudorientalica
Leguminaia saulcyi
